Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
134,Trayce Jackson-Davis,24,GSW,C,9,3,8.9,1.8,2.0,88.9,0.0,0.0,,1.8,2.0,88.9,88.9,0.6,1.4,38.5,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1,,4.3
135,Aaron Holiday,28,HOU,PG,3,0,9.0,1.3,3.3,40.0,0.7,1.7,40.0,0.7,1.7,40.0,50.0,0.7,1.3,50.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,4.0,,1.8000000000000003
136,Jay Huff,26,MEM,C,2,0,9.0,1.0,2.0,50.0,0.0,0.5,0.0,1.0,1.5,66.7,50.0,2.0,2.0,10.0,0.5,1.0,1.5,0.5,0.0,1.5,0.5,0.5,4.0,,5.5
137,Quinten Post,24,GSW,PF,12,2,12.2,1.3,4.0,33.300000000000004,0.8,2.7,31.3,0.5,1.3,37.5,43.8,0.3,0.3,75.0,0.5,1.8,2.3,1.0,0.3,0.3,0.5,1.7,3.8,,2.799999999999999
138,Jonathan Isaac,27,ORL,PF,5,0,13.8,1.4,2.4,58.3,0.2,0.8,25.0,1.2,1.6,75.0,62.5,0.6,1.0,60.0,1.0,1.0,2.0,0.4,0.4,0.2,0.4,0.6,3.6,,4.200000000000001
139,Sam Hauser,27,BOS,PF,8,0,13.5,1.3,3.0,41.7,0.9,2.6,33.300000000000004,0.4,0.4,10.0,56.3,0.1,0.1,10.0,0.0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5,,2.1999999999999993
140,Ajay Mitchell,22,OKC,SG,12,0,7.0,1.3,2.9,45.7,0.4,1.1,38.5,0.9,1.8,50.0,52.900000000000006,0.3,0.4,80.0,0.3,0.5,0.8,0.8,0.2,0.0,0.5,0.6,3.4,,2.4
141,Ryan Rollins,22,MIL,PG,3,1,10.0,1.3,4.3,30.8,0.7,2.3,28.6,0.7,2.0,33.300000000000004,38.5,0.0,0.0,,0.3,0.3,0.7,1.3,0.3,0.0,0.0,1.3,3.3,,1.2999999999999998
142,Ben Sheppard,23,IND,SG,21,0,14.0,1.1,2.4,47.1,0.7,1.8,39.5,0.4,0.6,69.19999999999999,61.8,0.2,0.2,10.0,0.4,1.5,1.9,0.4,0.4,0.0,0.5,1.8,3.2,,2.3000000000000007
143,Patty Mills,36,LAC,PG,1,0,4.0,1.0,2.0,50.0,1.0,1.0,10.0,0.0,1.0,0.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,0.0
144,Hunter Tyson,24,DEN,PF,5,0,6.0,1.0,2.0,50.0,0.2,1.0,20.0,0.8,1.0,80.0,55.00000000000001,0.8,0.8,10.0,0.8,0.8,1.6,0.4,0.2,0.0,0.2,0.6,3.0,,3.4000000000000004
145,Jarace Walker,21,IND,PF,12,0,9.8,1.1,2.8,38.2,0.7,1.7,40.0,0.4,1.2,35.7,50.0,0.2,0.3,50.0,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3.0,,2.7000000000000006
146,John Konchar,28,MEM,SG,4,0,17.3,0.8,2.3,33.300000000000004,0.3,1.5,16.7,0.5,0.8,66.7,38.9,1.0,1.0,10.0,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2.0,2.8,,4.6
147,Paul Reed,25,DET,C,5,0,10.6,1.0,1.6,62.5,0.0,0.0,,1.0,1.6,62.5,62.5,0.8,1.2,66.7,1.4,1.6,3.0,0.2,1.0,0.6,1.0,1.6,2.8,,3.9999999999999996
148,Jericho Sims,26,MIL,C,5,0,11.6,1.2,1.2,10.0,0.0,0.0,,1.2,1.2,10.0,100000.0,0.4,0.6,66.7,2.2,1.8,4.0,0.2,0.0,0.2,1.0,1.0,2.8,,5.0
149,Gabe Vincent,28,LAL,PG,5,0,19.8,1.0,2.8,35.7,0.8,2.6,30.8,0.2,0.2,10.0,50.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,1.6,2.8,,1.8000000000000007
150,Rob Dillingham,20,MIN,PG,3,0,5.3,1.0,2.7,37.5,0.3,0.7,50.0,0.7,2.0,33.300000000000004,43.8,0.3,0.7,50.0,0.0,0.7,0.7,2.3,0.0,0.0,0.0,0.3,2.7,,3.3000000000000003
