Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
223,Marcus Smart,30,2TM,PG,34,7,20.0,3.0,7.6,39.3,1.4,4.1,34.8,1.5,3.4,44.8,48.8,1.6,2.1,76.1,0.5,1.6,2.1,3.2,1.1,0.3,1.6,1.6,9.0,,7.4
223,Marcus Smart,30,MEM,PG,19,6,21.1,2.8,7.8,35.8,1.5,4.7,32.2,1.3,3.1,41.4,45.6,1.6,1.9,83.3,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,,7.5
223,Marcus Smart,30,WAS,PG,15,1,18.7,3.2,7.3,44.0,1.3,3.4,39.2,1.9,3.9,48.3,53.2,1.6,2.3,68.60000000000001,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,9.3,,7.4
224,Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,42.4,1.2,3.6,32.5,2.0,3.9,51.7,50.3,1.5,2.2,68.7,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,DPOY-3DEF1,12.399999999999999
225,Killian Hayes,23,BRK,PG,6,5,27.0,3.0,7.2,41.9,1.3,3.5,38.1,1.7,3.7,45.5,51.2,1.7,2.0,83.3,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,,10.399999999999997
226,Al Horford,38,BOS,C,60,42,27.7,3.3,7.7,42.3,1.9,5.2,36.3,1.4,2.5,55.1,54.7,0.6,0.6,89.5,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,,12.2
227,Julian Strawther,22,DEN,SG,65,4,21.3,3.2,7.5,43.2,1.4,4.1,34.9,1.8,3.3,53.5,52.900000000000006,1.1,1.4,82.19999999999999,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9.0,,5.499999999999999
228,Patrick Williams,23,CHI,PF,63,36,25.0,3.3,8.2,39.7,1.5,4.3,35.3,1.7,3.9,44.7,49.0,1.0,1.3,72.3,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,9.0,,8.100000000000001
229,Jusuf Nurkić,30,2TM,C,51,32,20.8,3.3,6.9,47.7,0.6,2.1,30.5,2.7,4.8,55.1,52.3,1.7,2.5,66.4,1.7,6.1,7.8,2.3,0.8,0.7,1.9,2.5,8.9,,11.7
229,Jusuf Nurkić,30,PHO,C,25,23,23.7,3.0,6.5,45.4,0.8,2.4,32.2,2.2,4.2,52.900000000000006,51.2,1.9,2.8,69.6,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,,11.399999999999995
229,Jusuf Nurkić,30,CHO,C,26,9,18.1,3.6,7.3,49.7,0.5,1.8,28.3,3.1,5.5,56.6,53.2,1.4,2.3,62.7,1.5,5.0,6.5,2.6,0.7,0.7,1.5,2.0,9.2,,11.6
230,Clint Capela,30,ATL,C,55,41,21.4,4.0,7.1,55.900000000000006,0.0,0.0,0.0,4.0,7.1,56.00000000000001,55.900000000000006,0.9,1.8,53.6,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,,13.3
231,Johnny Juzang,23,UTA,SG,64,18,19.8,3.2,7.4,42.9,1.8,4.9,37.6,1.3,2.5,53.400000000000006,55.400000000000006,0.7,0.8,84.89999999999999,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2.0,8.9,,6.699999999999999
232,Luke Kennard,28,MEM,SG,65,11,22.6,3.2,6.6,47.8,1.7,4.0,43.3,1.4,2.6,54.7,60.9,0.8,0.9,89.5,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,,10.400000000000002
233,Justin Champagnie,23,WAS,SF,62,31,21.6,3.4,6.6,51.1,1.2,3.1,38.3,2.2,3.5,62.4,60.1,0.8,1.2,68.5,1.8,3.9,5.7,1.0,1.0,0.6,0.9,1.8,8.8,,10.8
234,Svi Mykhailiuk,27,UTA,SF,38,13,20.0,3.1,7.9,39.1,1.8,5.3,34.5,1.3,2.6,48.5,50.7,0.7,0.9,80.0,0.6,1.8,2.4,2.0,0.5,0.2,1.4,1.1,8.8,,6.3999999999999995
235,Chris Paul,39,SAS,PG,82,82,28.0,3.0,7.1,42.7,1.7,4.5,37.7,1.3,2.6,51.4,54.7,1.0,1.1,92.4,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,,13.800000000000002
236,Kelly Olynyk,33,2TM,C,44,22,20.3,3.0,6.1,50.0,0.8,1.8,41.8,2.3,4.3,53.400000000000006,56.2,1.9,2.5,76.9,1.4,3.3,4.7,2.9,0.8,0.4,1.7,2.8,8.7,,9.299999999999997
236,Kelly Olynyk,33,TOR,C,24,2,16.0,2.5,4.9,50.0,0.8,1.8,44.2,1.7,3.1,53.3,58.1,1.4,1.8,79.10000000000001,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1,,7.300000000000001
236,Kelly Olynyk,33,NOP,C,20,20,25.4,3.8,7.5,50.0,0.7,1.8,38.9,3.1,5.7,53.5,54.7,2.5,3.3,75.4,1.9,4.0,5.9,3.6,0.9,0.6,2.1,3.2,10.7,,11.900000000000002
237,Dorian Finney-Smith,31,2TM,PF,63,40,28.9,3.1,6.9,44.8,2.0,5.0,41.1,1.0,1.9,54.50000000000001,59.7,0.5,0.7,66.7,1.3,2.7,3.9,1.4,0.9,0.4,0.9,2.2,8.7,,8.2
237,Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,45.9,2.4,5.4,43.5,1.3,2.6,51.0,60.7,0.8,1.2,62.5,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,,9.8
237,Dorian Finney-Smith,31,LAL,PF,43,20,28.8,2.8,6.4,44.2,1.9,4.8,39.8,0.9,1.6,57.1,59.1,0.3,0.5,71.39999999999999,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9,,7.500000000000001
238,Oshae Brissett,26,PHI,SF,6,2,23.7,3.2,6.5,48.7,1.0,3.0,33.300000000000004,2.2,3.5,61.9,56.39999999999999,1.3,2.3,57.1,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7,,6.399999999999998
239,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,3.1,7.1,43.9,1.5,4.3,34.2,1.6,2.8,58.9,54.3,1.1,1.2,86.3,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,,7.700000000000001
240,Isaiah Collier,20,UTA,PG,71,46,25.9,3.3,7.8,42.2,0.6,2.4,24.9,2.7,5.4,49.7,45.9,1.5,2.2,68.2,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7,,9.2
241,Dante Exum,29,DAL,PG,20,13,18.6,3.2,6.7,47.8,1.2,2.7,43.4,2.1,4.1,50.6,56.3,1.2,1.6,74.2,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7,,7.299999999999998
242,Kyshawn George,21,WAS,SG,68,38,26.5,3.0,8.0,37.2,1.7,5.2,32.2,1.3,2.8,46.400000000000006,47.6,1.0,1.4,75.3,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7,,7.299999999999997
243,Jaden Hardy,22,DAL,SG,57,3,15.9,3.2,7.3,43.5,1.3,3.5,38.6,1.8,3.8,47.9,52.7,1.1,1.5,69.8,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7,,4.799999999999999
244,Dereck Lively II,20,DAL,C,36,29,23.1,3.7,5.3,70.19999999999999,0.0,0.0,,3.7,5.3,70.19999999999999,70.19999999999999,1.3,2.0,63.0,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,,14.600000000000001
245,Tyrese Martin,25,BRK,SG,60,11,21.9,3.2,7.8,40.6,1.7,4.7,35.099999999999994,1.5,3.1,49.2,51.3,0.8,1.0,79.3,1.0,2.7,3.7,2.0,0.6,0.2,1.2,1.3,8.7,,7.899999999999998
246,Matas Buzelis,20,CHI,SF,80,31,18.9,3.2,6.9,45.4,1.2,3.3,36.1,2.0,3.6,54.0,54.1,1.1,1.4,81.5,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,8.6,ROY-7,7.9
247,Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,3.2,7.0,46.1,0.6,1.8,31.1,2.7,5.2,51.3,50.1,1.6,2.2,75.4,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,,9.499999999999998
248,Ja'Kobe Walter,20,TOR,SG,52,18,21.2,3.1,7.6,40.5,1.3,3.6,34.9,1.8,4.0,45.4,48.7,1.3,1.6,79.5,1.1,1.9,3.1,1.6,0.8,0.2,1.0,1.8,8.6,,6.699999999999999
249,Sam Hauser,27,BOS,PF,71,19,21.7,3.0,6.7,45.1,2.3,5.6,41.6,0.7,1.1,64.0,62.7,0.2,0.2,10.0,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,8.2
250,Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,51.6,1.4,3.2,44.7,1.9,3.3,58.2,62.6,0.4,0.5,69.19999999999999,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,,10.200000000000001
251,Jared Rhoden,25,2TM,SG,14,2,16.2,3.0,6.2,48.3,0.9,2.8,30.8,2.1,3.4,62.5,55.2,1.6,1.8,88.0,1.0,2.0,3.0,1.1,0.7,0.1,0.6,1.4,8.4,,7.899999999999999
251,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,25.0,0.0,0.5,0.0,0.5,1.5,33.300000000000004,25.0,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,,0.6999999999999997
251,Jared Rhoden,25,TOR,SG,10,2,21.5,4.0,7.9,50.6,1.2,3.7,32.4,2.8,4.2,66.7,58.2,2.2,2.5,88.0,1.2,2.6,3.8,1.4,0.9,0.2,0.8,1.9,11.4,,10.799999999999995
252,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,35.6,1.0,3.4,29.6,2.3,5.8,39.1,41.1,0.9,1.4,63.6,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,5.399999999999999
253,Cason Wallace,21,OKC,SG,68,43,27.6,3.4,7.2,47.4,1.1,3.1,35.6,2.3,4.1,56.2,55.00000000000001,0.4,0.5,81.10000000000001,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4,,9.700000000000001
254,Bruce Brown,28,2TM,PG,41,12,22.5,3.2,7.5,42.1,0.7,2.0,33.300000000000004,2.5,5.6,45.2,46.400000000000006,1.3,1.6,81.5,1.0,3.0,4.0,2.0,0.8,0.2,1.0,1.7,8.3,,8.0
254,Bruce Brown,28,TOR,PG,18,0,19.6,3.2,7.3,43.5,0.6,2.0,30.6,2.6,5.3,48.4,47.7,1.4,1.6,89.7,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,,8.099999999999998
254,Bruce Brown,28,NOP,PG,23,12,24.7,3.2,7.7,41.0,0.7,2.0,35.6,2.5,5.8,42.9,45.5,1.2,1.6,75.0,1.0,3.2,4.2,2.4,0.7,0.3,0.9,2.0,8.2,,7.999999999999998
255,Dalano Banton,25,POR,PG,67,7,16.7,3.0,7.6,39.1,1.1,3.3,32.4,1.9,4.3,44.2,46.2,1.4,1.9,72.8,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,8.3,,6.500000000000001
256,Brandon Clarke,28,MEM,PF,64,18,18.9,3.7,5.9,62.1,0.0,0.3,5.9,3.7,5.7,64.7,62.2,1.0,1.4,70.1,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3,,10.3
257,Keon Ellis,25,SAC,SG,80,28,24.4,2.8,5.8,48.9,1.7,4.0,43.3,1.1,1.8,61.5,63.9,0.9,1.1,84.89999999999999,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3,,8.5
